itemcode,itemname,Sequence,Wt,source_fct,fdc_id,food_desc,Edible_factor_in_FCT,ENERCkJ,ENERCkcal,WATERg,ASHg,PROCNTg,FAT_g_standardised,FIBTGg,ALCg,CHOAVLg,CHOAVLDFg,FEmg,ZNmg,VITA_RAEmcg,THIAmg,RIBFmg,NIAmg,FOLmcg_standardised,VITB6_mg_standardised,VITB12mcg,RETOLmcg,CARTBmcg,CARTAmcg,CRYPXBmcg,CARTBEQmcg
806,OTHER DOMESTIC/WILD MEAT PRODUCTS,NA,1,From averages worksheet,NA,NA,1,502.91525423728802,119.728813559322,71.954237288135602,1.0254237288135599,19.8703389830508,4.44406779661017,0,0,NA,0,0.581355932203391,1.7338983050847501,0,0.10177966101694901,0.117372881355932,4.78898305084746,0.50847457627118797,0.48838983050847501,4.6059322033898296,0,0,0,0,0
807,EGGS,NA,NA,KE18,7011,"Egg, chicken, whole, rawÃ‚Â Ã‚Â Ã‚Â ",0.87,558,134,75.900000000000006,0.9,12.7,8.1,0,NA,NA,2.4,1.7,1.1299999999999999,186,0.12,0.51,0,83,0.122862745098039,1.7,186,NA,NA,NA,0
809,DRIED/SALTED/CANNED FISH AND SEAFOOD (INCL. DAGAA),NA,1,From averages worksheet,NA,NA,1,1424.3383268034099,338.608780825075,11.8086828762388,8.6705174003226606,61.5749942383038,10.1354862871629,0,NA,NA,0.326365522009679,6.8390412537451,12.318196012906199,145.58924867481,0.254173196589076,0.404663516939387,15.333878773911,44.762041945148702,2.49470350692427,50.353802719520601,145.58924867480999,NA,NA,NA,NA
810,PACKAGED/CANNED FISH,SUMMARY,1,NA,NA,"Sardine, canned in oil, drained, with bones",0.82,995,239,56.1,3.6,24.8,15.5,0,0,NA,0,2.4,1.77,49,0.03,0.26,6.8,6,0.15,9,49,0,0,0,0
901,FRESH MILK,NA,1,From averages worksheet,NA,NA,1,290.38842975206597,69.603305785124,86.343388429752096,0.70123966942148797,3.30247933884298,3.45785123966942,0,NA,NA,6.0962809917355401,0.1,0.62615702479338897,40.4917355371901,3.7190082644628E-4,0.268884297520661,0.0012396694214876,7.9752066115702496,2.9951472083546801E-2,0.58764462809917395,39.504132231405002,NA,NA,NA,17.7892561983471
902,"MILK PRODUCTS (LIKE CREAM, CHEESE, YOGHURT ETC)",NA,1,From averages worksheet,NA,NA,1,333.37548352674401,79.2225223422702,82.372435640923001,0.84600840336134497,3.75485194077631,2.38624116313192,6.3772175536881401E-2,NA,NA,10.6099473122582,0.143090569561158,0.54519741229825303,27.7877484327064,5.2330265439509097E-2,0.193602440976391,0.106222488995598,6.7165532879818599,NA,0.32549586501267203,26.696712018140602,NA,NA,NA,10.1970788315326
903,CANNED MILK/MILK POWDER,NA,1,From averages worksheet,NA,NA,1,1947.56756756757,465.027027027027,6.8972972972972997,5.2135135135135098,22.7459459459459,22.7351351351351,0,NA,NA,42.489189189189197,0.913513513513513,2.6859459459459498,341.405405405405,0.31216216216216203,1.16783783783784,0.897297297297297,44.513513513513502,0.23663937889954201,2.6243243243243199,331.67567567567602,NA,NA,NA,120.675675675676
1001,COOKING OIL,NA,1,From averages worksheet,NA,NA,1,3699.9622243325898,899.395589321515,0,0,0,99.9833808167142,0,NA,NA,NA,0.0399704547852697,1.40192043895748E-2,1.00200485385671,0,0,0,0,0,0,1.06030389363723,NA,NA,NA,5.33924237627941E-2
1002,"BUTTER, MARGARINE, GHEE AND OTHER FAT PRODUCTS",NA,1,From averages worksheet,NA,NA,1,3241.3333333333298,785.228571428571,11.909523809523799,0.66857142857142904,0.534285714285714,86.9895238095238,0,NA,NA,NA,0.0761904761904762,4.1619047619047597E-2,507.514285714286,2.31428571428571E-2,0.0241904761904762,0.259809523809523,0.29523809523809502,NA,1.1214285714285701,480.647619047619,NA,NA,NA,NA
1003,SALT,NA,NA,US19,2047,"Salt, table",1,0,0,0.2,99.8,0,0,0,0,NA,NA,0.33,0.1,0,0,0,0,0,0,0,0,0,0,0,0
