itemcode,itemname.x,median,median_se,qt_q25,qt_q75,qt_q25_se,qt_q75_se,itemname.y,per
803,Pork including sausages and bacon,38.7768729420482,7.9343359776255005,18.956430340838043,44.96983545271623,NA,NA,PORK (INCLUDING SAUSAGES AND BACON),6
502,Coconuts (mature/immature),35.686705910344315,1.3176644439177025,18.562699787469576,64.74432182955051,1.140089093613726,3.0732948838104845,COCONUTS (MATURE/IMMATURE),19.7
109,Bread,35.39269288861052,1.6148787087960998,20.640075458696572,61.80289613646833,0.8367298919624274,3.1394244775546465,BREAD,19.7
7023,Other citrus fruits,35.307464034980576,8.96603685580054,16.35388084475857,74.80043788227356,4.088090778724055,16.868806987644923,OTHER CITRUS FRUITS,1.2
6021,Cabbage,33.33597553776871,1.527538217672768,19.42670676043705,54.62275130583477,0.9580814542376861,2.6040888053511373,CABBAGE,19.5
1105,"Prepared tea, coffee",33.28102059114964,42.676916521276176,3.9502775071292957,44.101482966010686,NA,NA,"PREPARED TEA, COFFEE",0.3
602,"Spinach, cabbage and other green vegetables",31.60225587864545,4.30740457555908,16.613969236489833,62.49235912598824,1.5401215330224123,6.453372755917495,NA,NA
802,Beef (including minced sausage),31.1279533871143,1.1063970735478716,20.878373600258183,53.44057385692275,0.5844538124515355,2.210618719553361,BEEF (INCLUDING MINCED SAUSAGE),34.4
7022,Orange/tangerine,31.080597315550445,1.8345803371352567,16.048339961624816,59.13084179409981,1.1821013015545465,3.3303365004054664,ORANGE/TANGERINE,19.7
802,Beef including minced sausage,30.26108192283565,2.442239500763191,18.839318727899958,44.72871487228493,2.112977764042542,3.6788850313823613,BEEF (INCLUDING MINCED SAUSAGE),34.4
803,Pork (including sausages and bacon),29.613708480198092,2.1655502956800876,20.78986894230391,54.184920750013006,1.13061373473695,7.054721946758778,PORK (INCLUDING SAUSAGES AND BACON),6
7032,Avocado,28.62882482091824,1.2417299117207719,15.142256315201895,50.638846873439334,0.9959907089150644,3.271958159489382,AVOCADO,20.8
1108,Wine and spirits,28.603942635651695,119.47042338874505,9.789761142820137,110.82140134166022,NA,NA,WINE AND SPIRITS,0.4
8041,Chicken,28.22948146257736,1.387194369102136,18.59769562733657,46.6804786281328,0.7279137909773411,1.8305000638183009,CHICKEN,17.7
702,"Citrus fruits (oranges, lemon, tangerines, etc.)",27.34031464773134,5.065080451807456,10.676954553146157,46.75334444444093,2.8467985726797695,9.155541044804268,NA,NA
301,Sugar,26.616545952519978,0.5442114498695376,16.560615815747635,40.04169203088859,0.42770085045581296,0.782300189774428,SUGAR,70.8
110,"Buns, cakes and biscuits",25.860897976371866,4.699240810334856,13.177659156902838,48.86501482993305,2.6598253955285487,12.702000108566432,NA,NA
504,Seeds and products from nuts/seeds (excl. Cooking oil),25.356923461210283,NA,4.2339114678870855,38.29640465805524,NA,NA,SEEDS AND PRODUCTS FROM NUTS/SEEDS (EXCL. COOKING OIL),0.2
6023,Other green vegetable,24.397312444317276,0.7794486615150884,12.71807107236919,47.635126458218544,0.4487716502376844,1.4876274705914454,OTHER GREEN VEGETABLE,68.6
111,"Macaroni, spaghetti",24.368510786240552,1.0845719929816418,17.692339414735184,39.86077504415886,0.7527679214874958,4.226736997729522,"MACARONI, SPAGHETTI",8.9
6022,Chiness/spinach,23.730883571937234,0.9688773625045208,12.389194558624009,44.512297538549255,0.8567356189814217,2.387009590575187,CHINESS/SPINACH,27.9
11011,Buns,23.569367202960454,0.8216746396118422,13.144013770171009,44.87667781384189,0.512173962145795,2.95472829853871,BUNS,31
603,"Canned, dried and wild vegetables",23.08173222514042,4.848279513549307,10.927670015010047,46.049747062618515,3.9644482297031503,14.71661004319395,"CANNED, DRIED, AND WILD VEGETABLES",9.9
801,Goat meat,22.677817683570428,1.6628648931462358,15.605994572104619,41.642285965557186,0.8715805723829859,4.281225143679989,GOAT MEAT,9.4
8083,Tilapia (fresh),21.793347978270045,2.7034121923494236,10.66891442913458,41.576919911384,1.1930550157534279,9.69047325763641,TILAPIA (FRESH),3.8
