hhid,adm1,adm2,res,sep_quintile,res_quintile,age_head,sex_head,educ_head,year,month,survey_wgt,ea,hhsize,headwork,educ_head2
8853-001-02,14,147,Rural,1,1,56,Female,NA,2021,7,2018.98351202651,NA,19,17,3
8853-001-02,14,147,Rural,1,1,56,Female,NA,2021,7,2018.98351202651,NA,19,17,3
8853-001-02,14,147,Rural,1,1,56,Female,NA,2021,7,2018.98351202651,NA,19,17,3
8853-001-02,14,147,Rural,1,1,56,Female,NA,2021,7,2018.98351202651,NA,19,11,3
8853-001-02,14,147,Rural,1,1,56,Female,NA,2021,7,2018.98351202651,NA,19,17,3
8854-001-03,14,147,Rural,2,2,53,Male,NA,2021,7,1994.55452364606,NA,8,1,3
8854-001-03,14,147,Rural,2,2,53,Male,NA,2021,7,1994.55452364606,NA,8,11,3
8854-001-03,14,147,Rural,2,2,53,Male,NA,2021,7,1994.55452364606,NA,8,11,3
8854-001-03,14,147,Rural,2,2,53,Male,NA,2021,7,1994.55452364606,NA,8,11,3
8854-001-03,14,147,Rural,2,2,53,Male,NA,2021,7,1994.55452364606,NA,8,11,3
8854-001-03,14,147,Rural,2,2,53,Male,NA,2021,7,1994.55452364606,NA,8,11,3
8854-001-03,14,147,Rural,2,2,53,Male,NA,2021,7,1994.55452364606,NA,8,11,3
8854-001-03,14,147,Rural,2,2,53,Male,NA,2021,7,1994.55452364606,NA,8,17,3
8854-001-10,14,147,Rural,1,2,39,Female,NA,2021,7,728.169280710808,1,11,14,3
8854-001-10,14,147,Rural,1,2,39,Female,NA,2021,7,728.169280710808,1,11,14,3
8854-001-10,14,147,Rural,1,2,39,Female,NA,2021,7,728.169280710808,1,11,1,3
8854-001-10,14,147,Rural,1,2,39,Female,NA,2021,7,728.169280710808,1,11,17,3
8854-001-10,14,147,Rural,1,2,39,Female,NA,2021,7,728.169280710808,1,11,17,3
8854-001-10,14,147,Rural,1,2,39,Female,NA,2021,7,728.169280710808,1,11,14,3
8854-001-10,14,147,Rural,1,2,39,Female,NA,2021,7,728.169280710808,1,11,1,3
8854-001-10,14,147,Rural,1,2,39,Female,NA,2021,7,728.169280710808,1,11,17,3
8854-001-10,14,147,Rural,1,2,39,Female,NA,2021,7,728.169280710808,1,11,14,3
8854-001-10,14,147,Rural,1,2,39,Female,NA,2021,7,728.169280710808,1,11,17,3
8854-001-10,14,147,Rural,1,2,39,Female,NA,2021,7,728.169280710808,1,11,14,3
8854-001-13,14,147,Rural,3,4,36,Female,NA,2021,7,2103.0352327951,NA,3,1,3
8854-001-13,14,147,Rural,3,4,36,Female,NA,2021,7,2103.0352327951,NA,3,17,3
8854-001-13,14,147,Rural,3,4,36,Female,NA,2021,7,2103.0352327951,NA,3,17,3
8854-001-14,14,147,Rural,2,2,22,Male,16,2021,7,2315.88387944517,NA,2,1,1
8854-001-14,14,147,Rural,2,2,22,Male,16,2021,7,2315.88387944517,NA,2,1,1
8857-001-01,14,147,Rural,2,3,44,Male,18,2021,7,1388.66313447534,3,7,1,2
8857-001-01,14,147,Rural,2,3,44,Male,18,2021,7,1388.66313447534,3,7,1,2
8857-001-01,14,147,Rural,2,3,44,Male,18,2021,7,1388.66313447534,3,7,14,2
8857-001-01,14,147,Rural,2,3,44,Male,18,2021,7,1388.66313447534,3,7,14,2
8857-001-01,14,147,Rural,2,3,44,Male,18,2021,7,1388.66313447534,3,7,14,2
8857-001-01,14,147,Rural,2,3,44,Male,18,2021,7,1388.66313447534,3,7,17,2
8857-001-01,14,147,Rural,2,3,44,Male,18,2021,7,1388.66313447534,3,7,17,2
8866-001-01,4,41,Rural,2,2,76,Female,15,2021,3,1696.14247827315,NA,4,1,1
8866-001-01,4,41,Rural,2,2,76,Female,15,2021,3,1696.14247827315,NA,4,14,1
8866-001-01,4,41,Rural,2,2,76,Female,15,2021,3,1696.14247827315,NA,4,14,1
8866-001-01,4,41,Rural,2,2,76,Female,15,2021,3,1696.14247827315,NA,4,14,1
8867-001-02,4,41,Rural,5,5,50,Female,18,2021,3,3105.38613626422,NA,3,1,2
8867-001-02,4,41,Rural,5,5,50,Female,18,2021,3,3105.38613626422,NA,3,14,2
8867-001-02,4,41,Rural,5,5,50,Female,18,2021,3,3105.38613626422,NA,3,14,2
8868-001-01,4,41,Rural,3,3,35,Male,18,2021,3,7764.95540241192,NA,6,1,2
8868-001-01,4,41,Rural,3,3,35,Male,18,2021,3,7764.95540241192,NA,6,1,2
8868-001-01,4,41,Rural,3,3,35,Male,18,2021,3,7764.95540241192,NA,6,14,2
8868-001-01,4,41,Rural,3,3,35,Male,18,2021,3,7764.95540241192,NA,6,14,2
8868-001-01,4,41,Rural,3,3,35,Male,18,2021,3,7764.95540241192,NA,6,14,2
8868-001-01,4,41,Rural,3,3,35,Male,18,2021,3,7764.95540241192,NA,6,17,2
8869-001-01,4,41,Rural,2,2,42,Male,18,2021,3,5059.31272147577,NA,9,1,2
8869-001-01,4,41,Rural,2,2,42,Male,18,2021,3,5059.31272147577,NA,9,1,2
8869-001-01,4,41,Rural,2,2,42,Male,18,2021,3,5059.31272147577,NA,9,14,2
8869-001-01,4,41,Rural,2,2,42,Male,18,2021,3,5059.31272147577,NA,9,14,2
8869-001-01,4,41,Rural,2,2,42,Male,18,2021,3,5059.31272147577,NA,9,14,2
8869-001-01,4,41,Rural,2,2,42,Male,18,2021,3,5059.31272147577,NA,9,14,2
8869-001-01,4,41,Rural,2,2,42,Male,18,2021,3,5059.31272147577,NA,9,14,2
8869-001-01,4,41,Rural,2,2,42,Male,18,2021,3,5059.31272147577,NA,9,17,2
8869-001-01,4,41,Rural,2,2,42,Male,18,2021,3,5059.31272147577,NA,9,17,2
8870-001-01,4,41,Rural,2,2,38,Male,18,2021,3,6374.54706995612,NA,8,1,2
8870-001-01,4,41,Rural,2,2,38,Male,18,2021,3,6374.54706995612,NA,8,1,2
8870-001-01,4,41,Rural,2,2,38,Male,18,2021,3,6374.54706995612,NA,8,1,2
8870-001-01,4,41,Rural,2,2,38,Male,18,2021,3,6374.54706995612,NA,8,14,2
8870-001-01,4,41,Rural,2,2,38,Male,18,2021,3,6374.54706995612,NA,8,14,2
8870-001-01,4,41,Rural,2,2,38,Male,18,2021,3,6374.54706995612,NA,8,17,2
8870-001-01,4,41,Rural,2,2,38,Male,18,2021,3,6374.54706995612,NA,8,17,2
8870-001-01,4,41,Rural,2,2,38,Male,18,2021,3,6374.54706995612,NA,8,17,2
8871-001-01,4,41,Rural,5,5,80,Female,NA,2021,3,2194.26963686308,NA,4,1,3
8871-001-01,4,41,Rural,5,5,80,Female,NA,2021,3,2194.26963686308,NA,4,11,3
