hhid,groupcode,groupname,grpcons,cons
1006-001-05,12,Milk and milk products,83.61244589885,1
1006-001-05,13,Spices and other foods,6.6044586018048985,1
1007-001-01,1,Cereals and cereal products,442.87963852299004,1
1007-001-01,2,NA,NA,0
1007-001-01,3,"Pulses, dry",91.93714990512954,1
1007-001-01,4,Vegetables,126.48645146901481,1
1007-001-01,5,NA,NA,0
1007-001-01,6,Beverages,1.1032457988615545,1
1007-001-01,7,NA,NA,0
1007-001-01,8,NA,NA,0
1007-001-01,9,NA,NA,0
1007-001-01,10,NA,NA,0
1007-001-01,11,Oil and fats,16.7509487127146,1
1007-001-01,12,Milk and milk products,407.37351122962895,1
1007-001-01,13,Spices and other foods,9.193714990512953,1
1009-001-01,1,Cereals and cereal products,210.85257326446128,1
1009-001-01,2,NA,NA,0
1009-001-01,3,"Pulses, dry",73.89169824135104,1
1009-001-01,4,Vegetables,78.36998298325109,1
1009-001-01,5,Fruits,27.76536539978039,1
1009-001-01,6,Beverages,69.851912213762,1
1009-001-01,7,Sugar and sweets,42.252616539827095,1
1009-001-01,8,NA,NA,0
1009-001-01,9,"Meat, meat products and fish",40.45383883516389,1
1009-001-01,10,Eggs,7.314531745103436,1
1009-001-01,11,Oil and fats,33.960325959408806,1
1009-001-01,12,Milk and milk products,493.46965951787104,1
1009-001-01,13,Spices and other foods,9.329759878958464,1
1019-001-01,1,Cereals and cereal products,165.17531990840254,1
1019-001-01,2,Starches,6.4950295286015916,1
1019-001-01,3,NA,NA,0
1019-001-01,4,Vegetables,79.15429212677367,1
1019-001-01,5,Fruits,44.715698062446236,1
1019-001-01,6,Beverages,14.571822713953141,1
1019-001-01,7,Sugar and sweets,27.995816933627548,1
1019-001-01,8,NA,NA,0
1019-001-01,9,"Meat, meat products and fish",24.75716430817303,1
1019-001-01,10,NA,NA,0
1019-001-01,11,Oil and fats,38.25628383980205,1
1019-001-01,12,Milk and milk products,206.74910805483947,1
1019-001-01,13,Spices and other foods,13.997908466813774,1
1020-001-01,1,Cereals and cereal products,530.934589299983,1
1020-001-01,2,Starches,69.75331121195185,1
1020-001-01,3,"Pulses, dry",21.902063588735736,1
1020-001-01,4,Vegetables,123.1747358888982,1
1020-001-01,5,Fruits,76.18109074342865,1
1020-001-01,6,Beverages,104.87114181022896,1
1020-001-01,7,Sugar and sweets,23.806590857321453,1
1020-001-01,8,NA,NA,0
1020-001-01,9,"Meat, meat products and fish",131.8234311057526,1
1020-001-01,10,NA,NA,0
1020-001-01,11,Oil and fats,43.32799536032504,1
1020-001-01,12,NA,NA,0
1020-001-01,13,Spices and other foods,11.903295428660726,1
1022-001-01,1,Cereals and cereal products,401.5807119235125,1
1022-001-01,2,Starches,17.627786930594507,1
1022-001-01,3,"Pulses, dry",9.852113465856842,1
1022-001-01,4,Vegetables,67.0880278605656,1
1022-001-01,5,Fruits,38.29473668902615,1
1022-001-01,6,Beverages,0.3569606328209,1
1022-001-01,7,Sugar and sweets,35.69606328209,1
1022-001-01,8,NA,NA,0
1022-001-01,9,"Meat, meat products and fish",49.41465125156747,1
1022-001-01,10,NA,NA,0
1022-001-01,11,Oil and fats,32.483417586701904,1
1022-001-01,12,NA,NA,0
1022-001-01,13,Spices and other foods,7.1392126564180005,1
1023-001-01,1,Cereals and cereal products,331.43254624952,1
1023-001-01,2,NA,NA,0
1023-001-01,3,NA,NA,0
1023-001-01,4,Vegetables,178.20195502376453,1
1023-001-01,5,Fruits,44.892538389497474,1
1023-001-01,6,Beverages,5.800069559366599,1
1023-001-01,7,Sugar and sweets,62.14360242178499,1
1023-001-01,8,NA,NA,0
1023-001-01,9,"Meat, meat products and fish",27.477308119019764,1
1023-001-01,10,NA,NA,0
1023-001-01,11,Oil and fats,56.55067820382435,1
1023-001-01,12,Milk and milk products,100.11334350149562,1
1023-001-01,13,Spices and other foods,24.378327174648717,1
1024-001-01,1,Cereals and cereal products,311.8409038879354,1
1024-001-01,2,Starches,103.00199552662107,1
1024-001-01,3,"Pulses, dry",32.6015490428296,1
1024-001-01,4,Vegetables,42.7127541082869,1
1024-001-01,5,NA,NA,0
1024-001-01,6,Beverages,35.61128625156619,1
1024-001-01,7,Sugar and sweets,47.248621801202326,1
1024-001-01,8,NA,NA,0
1024-001-01,9,"Meat, meat products and fish",56.918443288323004,1
1024-001-01,10,NA,NA,0
1024-001-01,11,Oil and fats,42.996245839094115,1
1024-001-01,12,NA,NA,0
1024-001-01,13,Spices and other foods,9.449724360240465,1
1025-001-02,1,Cereals and cereal products,927.9689908476088,1
1025-001-02,2,Starches,278.56334264792866,1
1025-001-02,3,"Pulses, dry",142.43244975800505,1
1025-001-02,4,Vegetables,166.60280486845437,1
1025-001-02,5,Fruits,115.09692909737784,1
1025-001-02,6,Beverages,1.438711613717223,1
1025-001-02,7,Sugar and sweets,71.93558068586114,1
1025-001-02,8,Nuts and seeds,35.96779034293057,1
1025-001-02,9,"Meat, meat products and fish",21.278544766877726,1
1025-001-02,10,NA,NA,0
1025-001-02,11,Oil and fats,32.76665700240975,1
1025-001-02,12,Milk and milk products,179.98282287602458,1
1025-001-02,13,Spices and other foods,14.387116137172228,1
1038-001-02,1,Cereals and cereal products,250.46440855341422,1
1038-001-02,2,NA,NA,0
1038-001-02,3,"Pulses, dry",18.149594822711176,1
1038-001-02,4,Vegetables,65.65753019736873,1
1038-001-02,5,Fruits,7.713577799652249,1
1038-001-02,6,Beverages,1.2704716375897822,1
1038-001-02,7,Sugar and sweets,18.149594822711173,1
1038-001-02,8,NA,NA,0
1038-001-02,9,"Meat, meat products and fish",1.8149594822711175,1
1038-001-02,10,NA,NA,0
1038-001-02,11,Oil and fats,8.26714044174494,1
1038-001-02,12,Milk and milk products,15.13676208214112,1
1038-001-02,13,Spices and other foods,3.629918964542235,1
1039-001-01,1,Cereals and cereal products,413.23632983433816,1
1039-001-01,2,NA,NA,0
1039-001-01,3,"Pulses, dry",48.414670595975714,1
1039-001-01,4,Vegetables,29.89239131493955,1
1039-001-01,5,NA,NA,0
1039-001-01,6,Beverages,0.9780741534540548,1
1039-001-01,7,Sugar and sweets,36.677780754527056,1
1039-001-01,8,NA,NA,0
1039-001-01,9,"Meat, meat products and fish",6.846519074178383,1
1039-001-01,10,NA,NA,0
1039-001-01,11,Oil and fats,11.13781942245805,1
1039-001-01,12,NA,NA,0
1039-001-01,13,Spices and other foods,3.0564817295439215,1
1041-001-01,1,Cereals and cereal products,1585.359055529526,1
1041-001-01,2,NA,NA,0
1041-001-01,3,"Pulses, dry",137.85730917648056,1
1041-001-01,4,Vegetables,197.390333044255,1
1041-001-01,5,Fruits,42.0878364915795,1
1041-001-01,6,NA,NA,0
1041-001-01,7,Sugar and sweets,103.39298188236037,1
1041-001-01,8,NA,NA,0
1041-001-01,9,"Meat, meat products and fish",243.8190007068677,1
1041-001-01,10,NA,NA,0
1041-001-01,11,Oil and fats,125.45015135059727,1
1041-001-01,12,Milk and milk products,509.03811413415434,1
1041-001-01,13,Spices and other foods,34.46432729412013,1
1042-001-01,1,Cereals and cereal products,584.3034550703785,1
1042-001-01,2,Starches,46.64396679960961,1
1042-001-01,3,"Pulses, dry",125.38700752583232,1
1042-001-01,4,Vegetables,93.67686931769326,1
1042-001-01,5,Fruits,333.62974962473453,1
1042-001-01,6,Beverages,37.04935298373292,1
1042-001-01,7,Sugar and sweets,26.582045595476444,1
1042-001-01,8,NA,NA,0
1042-001-01,9,"Meat, meat products and fish",146.70279880522378,1
1042-001-01,10,NA,NA,0
1042-001-01,11,Oil and fats,34.268269156809964,1
1042-001-01,12,Milk and milk products,52.91331717590123,1
1042-001-01,13,Spices and other foods,10.030960602066584,1
1042-001-02,1,Cereals and cereal products,571.4788595726525,1
1042-001-02,2,NA,NA,0
1042-001-02,3,"Pulses, dry",71.43485744658157,1
1042-001-02,4,Vegetables,413.791328521039,1
1042-001-02,5,Fruits,87.50770037206242,1
1042-001-02,6,Beverages,2.8573942978632627,1
1042-001-02,7,Sugar and sweets,35.71742872329078,1
1042-001-02,8,Nuts and seeds,35.71742872329078,1
1042-001-02,9,"Meat, meat products and fish",94.65118611672057,1
1042-001-02,10,NA,NA,0
1042-001-02,11,Oil and fats,65.0771551338358,1
1042-001-02,12,Milk and milk products,134.94044571659256,1
1042-001-02,13,Spices and other foods,14.286971489316313,1
1043-001-01,1,Cereals and cereal products,172.90567853041534,1
1043-001-01,2,Starches,185.06367782076455,1
1043-001-01,3,"Pulses, dry",22.75074717505466,1
1043-001-01,4,Vegetables,101.52142688689179,1
1043-001-01,5,NA,NA,0
1043-001-01,6,Beverages,1.1375373587527327,1
1043-001-01,7,Sugar and sweets,11.375373587527324,1
1043-001-01,8,NA,NA,0
1043-001-01,9,"Meat, meat products and fish",32.988583403829246,1
1043-001-01,10,NA,NA,0
1043-001-01,11,Oil and fats,20.703179929299733,1
1043-001-01,12,Milk and milk products,691.0311946951101,1
1043-001-01,13,Spices and other foods,5.687686793763662,1
1044-001-01,1,Cereals and cereal products,57.43763581456164,1
1044-001-01,2,NA,NA,0
1044-001-01,3,NA,NA,0
1044-001-01,4,Vegetables,87.35111136965723,1
1044-001-01,5,NA,NA,0
1044-001-01,6,NA,NA,0
1044-001-01,7,NA,NA,0
1044-001-01,8,NA,NA,0
1044-001-01,9,NA,NA,0
1044-001-01,10,NA,NA,0
1044-001-01,11,Oil and fats,10.46513724541313,1
1044-001-01,12,NA,NA,0
1044-001-01,13,Spices and other foods,5.743763581456164,1
1045-001-01,1,Cereals and cereal products,172.3129074436849,1
1045-001-01,2,NA,NA,0
1045-001-01,3,"Pulses, dry",181.82149277616014,1
1045-001-01,4,Vegetables,129.5880078764537,1
1045-001-01,5,Fruits,48.82199044237739,1
1045-001-01,6,Beverages,0.7179704476820205,1
1045-001-01,7,Sugar and sweets,14.35940895364041,1
1045-001-01,8,NA,NA,0
1045-001-01,9,"Meat, meat products and fish",11.487527162912327,1
1045-001-01,10,NA,NA,0
1045-001-01,11,Oil and fats,13.081421556766413,1
1045-001-01,12,NA,NA,0
1045-001-01,13,Spices and other foods,7.179704476820205,1
1058-001-01,1,Cereals and cereal products,414.8736000852742,1
1058-001-01,2,NA,NA,0
1058-001-01,3,"Pulses, dry",29.63382857751959,1
1058-001-01,4,Vegetables,48.22427357544798,1
1058-001-01,5,Fruits,53.340891439535255,1
1058-001-01,6,Beverages,10.797085442219261,1
1058-001-01,7,Sugar and sweets,30.07833600618238,1
1058-001-01,8,Nuts and seeds,10.78671360221713,1
1058-001-01,9,"Meat, meat products and fish",8.890148573255876,1
1058-001-01,10,NA,NA,0
1058-001-01,11,Oil and fats,9.448746241942121,1
1058-001-01,12,NA,NA,0
1058-001-01,13,Spices and other foods,5.926765715503918,1
1059-001-01,1,Cereals and cereal products,108.75911883823872,1
1059-001-01,2,Starches,0.7402548574740138,1
1059-001-01,3,"Pulses, dry",32.55871118376204,1
1059-001-01,4,Vegetables,69.09739922262716,1
1059-001-01,5,NA,NA,0
1059-001-01,6,Beverages,1.0852903727920682,1
1059-001-01,7,Sugar and sweets,43.41161491168272,1
1059-001-01,8,Nuts and seeds,75.97032609544476,1
1059-001-01,9,"Meat, meat products and fish",223.84113938836404,1
1059-001-01,10,Eggs,4.7210131216454965,1
1059-001-01,11,Oil and fats,29.62842717722346,1
1059-001-01,12,Milk and milk products,102.50567571021082,1
1059-001-01,13,Spices and other foods,5.42645186396034,1
1059-001-03,1,Cereals and cereal products,307.87756494427543,1
1059-001-03,2,Starches,258.61715455319137,1
1059-001-03,3,NA,NA,0
1059-001-03,4,Vegetables,39.611124591824556,1
1059-001-03,5,NA,NA,0
1059-001-03,6,NA,NA,0
1059-001-03,7,NA,NA,0
1059-001-03,8,Nuts and seeds,17.104309163570857,1
1059-001-03,9,"Meat, meat products and fish",22.235601912642114,1
1059-001-03,10,NA,NA,0
1059-001-03,11,NA,NA,0
1059-001-03,12,Milk and milk products,113.08514003494872,1
1059-001-03,13,Spices and other foods,4.276077290892714,1
1059-001-06,1,Cereals and cereal products,329.82407475704474,1
1059-001-06,2,Starches,74.21041682033506,1
1059-001-06,3,NA,NA,0
1059-001-06,4,Vegetables,10.483693804777491,1
1059-001-06,5,Fruits,17.66914686198454,1
1059-001-06,6,Beverages,56.38283660815472,1
1059-001-06,7,Sugar and sweets,11.779431241323026,1
1059-001-06,8,NA,NA,0
1059-001-06,9,"Meat, meat products and fish",76.86078884963274,1
1059-001-06,10,NA,NA,0
1059-001-06,11,Oil and fats,10.719282429603954,1
1059-001-06,12,NA,NA,0
1059-001-06,13,Spices and other foods,2.9448578103307566,1
1060-001-01,1,Cereals and cereal products,359.0243078165928,1
1060-001-01,2,NA,NA,0
1060-001-01,3,NA,NA,0
1060-001-01,4,Vegetables,37.613158041595725,1
1060-001-01,5,NA,NA,0
1060-001-01,6,NA,NA,0
1060-001-01,7,NA,NA,0
1060-001-01,8,NA,NA,0
1060-001-01,9,NA,NA,0
1060-001-01,10,NA,NA,0
1060-001-01,11,NA,NA,0
1060-001-01,12,NA,NA,0
1060-001-01,13,NA,NA,0
1061-001-03,1,Cereals and cereal products,338.97794057256635,1
1061-001-03,2,Starches,203.38676434353982,1
1061-001-03,3,NA,NA,0
1061-001-03,4,Vegetables,28.127258039912345,1
1061-001-03,5,NA,NA,0
1061-001-03,6,Beverages,0.6053177510224399,1
1061-001-03,7,Sugar and sweets,12.106355020448799,1
1061-001-03,8,Nuts and seeds,24.212710040897598,1
1061-001-03,9,"Meat, meat products and fish",33.17020212052766,1
1061-001-03,10,Eggs,10.532528867790456,1
1061-001-03,11,Oil and fats,5.514444711814427,1
1061-001-03,12,NA,NA,0
1061-001-03,13,Spices and other foods,6.053177510224399,1
1062-001-01,1,Cereals and cereal products,627.4886512450607,1
1062-001-01,2,Starches,709.5448594847994,1
1062-001-01,3,"Pulses, dry",48.26835778808161,1
1062-001-01,4,Vegetables,29.001880345114603,1
1062-001-01,5,Fruits,47.66500331573057,1
1062-001-01,6,Beverages,0.30167723617550996,1
1062-001-01,7,Sugar and sweets,72.4025366821224,1
1062-001-01,8,NA,NA,0
1062-001-01,9,"Meat, meat products and fish",158.37490663834336,1
1062-001-01,10,NA,NA,0
1062-001-01,11,Oil and fats,10.993118486235584,1
1062-001-01,12,Milk and milk products,534.6927333974738,1
1062-001-01,13,Spices and other foods,6.033544723510199,1
1063-001-01,1,Cereals and cereal products,553.1764066163755,1
1063-001-01,2,NA,NA,0
1063-001-01,3,"Pulses, dry",18.43921355387919,1
1063-001-01,4,Vegetables,121.4205295944674,1
1063-001-01,5,NA,NA,0
1063-001-01,6,Beverages,0.6146404517959728,1
1063-001-01,7,Sugar and sweets,86.04966325143619,1
1063-001-01,8,Nuts and seeds,49.171236143677824,1
1063-001-01,9,"Meat, meat products and fish",28.695307606197495,1
1063-001-01,10,NA,NA,0
1063-001-01,11,Oil and fats,11.186456222686704,1
1063-001-01,12,Milk and milk products,90.78239473026518,1
1063-001-01,13,Spices and other foods,12.108718441076554,1
1064-001-01,1,Cereals and cereal products,208.7368131583902,1
1064-001-01,2,Starches,254.70900888839404,1
1064-001-01,3,"Pulses, dry",34.789468859731706,1
1064-001-01,4,Vegetables,73.2900441115653,1
1064-001-01,5,NA,NA,0
1064-001-01,6,Beverages,2.0873681315839017,1
1064-001-01,7,Sugar and sweets,34.7894688597317,1
1064-001-01,8,NA,NA,0
1064-001-01,9,"Meat, meat products and fish",214.6034692961261,1
1064-001-01,10,NA,NA,0
1064-001-01,11,Oil and fats,15.84660306560779,1
1064-001-01,12,NA,NA,0
1064-001-01,13,Spices and other foods,10.43684065791951,1
1076-001-01,1,Cereals and cereal products,581.8452806914563,1
1076-001-01,2,NA,NA,0
1076-001-01,3,"Pulses, dry",77.57937075886085,1
