hhid,adm1,adm2,res,sep_quintile,res_quintile,age_head,sex_head,year,month,hhsize,work_head,educ_head,educ_head2
1768-001-03,7,73,Urban,4,2,46,Female,2021,3,4,7,18,2
1768-001-04,7,72,Urban,5,4,43,Male,2021,2,2,7,22,3
1771-001-01,7,72,Urban,2,1,51,Male,2021,2,8,13,18,2
1779-001-01,1,11,Rural,2,2,79,Female,2021,11,2,1,NA,3
1780-001-01,1,11,Rural,3,4,39,Male,2021,11,5,1,18,2
1781-001-01,1,11,Rural,3,4,45,Male,2021,11,8,1,18,2
1782-001-03,1,11,Rural,4,4,54,Female,2021,11,2,1,18,2
1783-001-01,1,11,Rural,1,2,43,Male,2021,11,11,1,18,2
1784-001-01,1,11,Rural,2,3,36,Male,2021,11,4,1,18,2
1784-001-02,1,11,Rural,5,5,29,Female,2021,11,1,9,18,2
1785-001-02,1,11,Rural,3,4,64,Female,2021,11,6,1,14,1
1785-001-03,1,11,Rural,3,4,54,Male,2021,11,4,1,18,2
1786-001-01,1,11,Rural,2,2,45,Male,2021,11,7,1,18,2
1798-001-01,1,13,Rural,2,3,40,Male,2020,12,6,1,17,1
1798-001-04,7,72,Urban,4,3,26,Male,2021,2,3,7,18,2
1799-001-01,1,13,Rural,3,3,50,Male,2020,12,8,1,18,2
1800-001-01,1,13,Rural,2,3,56,Male,2020,12,7,1,18,2
1801-001-01,1,13,Rural,2,3,48,Male,2020,12,6,1,13,1
1801-001-04,1,13,Rural,3,4,22,Male,2020,12,2,1,13,1
1802-001-01,1,13,Rural,1,1,52,Male,2020,12,6,1,18,2
1802-001-03,7,72,Urban,4,3,28,Male,2021,2,3,7,24,3
1802-001-04,7,72,Urban,4,3,24,Male,2021,10,3,7,18,2
1803-001-01,1,13,Rural,3,4,34,Male,2020,12,8,1,15,1
1804-001-01,1,13,Rural,1,2,65,Female,2020,12,3,1,NA,3
1805-001-01,1,13,Rural,1,1,43,Female,2020,12,5,1,NA,3
1817-001-01,1,15,Urban,3,2,48,Female,2021,10,3,11,24,3
1818-001-01,1,15,Urban,5,5,51,Female,2021,10,1,7,18,2
1818-001-02,1,15,Urban,5,5,34,Male,2021,10,4,9,18,2
1818-001-03,1,15,Urban,4,3,31,Male,2021,10,3,7,24,3
1819-001-01,1,15,Urban,5,4,38,Male,2021,10,7,5,24,3
1820-001-01,1,15,Urban,5,5,69,Male,2021,10,3,3,25,3
1821-001-01,1,15,Urban,5,5,45,Male,2021,10,4,7,25,3
1822-001-01,1,15,Urban,5,4,41,Female,2021,10,2,10,24,3
