hhid,energy_kcal,vita_rae_mcg,thia_mg,ribo_mg,niac_mg,vitb6_mg,folate_mcg,vitb12_mcg,fe_mg,zn_mg
1083-001-01,2986.3263557994787,189.54659171088105,1.805479547060062,1.6983993865685365,15.486823767136915,2.221280757366267,297.0672971254185,7.574911284619962,16.82519395748544,13.230508224818696
1095-001-01,2379.1164593903104,174.67187482843661,1.734536975162297,1.1627744441213783,12.020761188143174,1.6587021076830277,462.88266337147303,1.5443430706776342,16.636090195472484,9.901264581709688
1096-001-01,1754.1861568055547,280.805229875607,1.0070941974036942,1.5387536776912063,8.626911855360593,1.1017775375795302,230.14193143982277,3.6415537875307025,11.186352765679631,8.77096072925582
1096-001-03,2517.0667578940406,529.8478993181525,1.3723052926305461,2.5475672616858804,12.686779181140938,1.5841308223795105,505.1531644256729,6.145019014858107,18.533247095975874,13.953967648962989
1097-001-01,1200.9576949020334,26.00466821733934,0.7755703005077202,0.4258762983229034,6.49967228401796,0.8566658197336584,103.84363006406112,0.5183445478820004,7.267334254035171,4.911670698294701
1097-001-02,2873.771944965136,386.2216058779372,1.4700434168176377,2.7628717794627686,12.203362521606886,1.9429226498217347,375.0174829627259,4.476436523878291,15.234662861346042,13.136570290075184
1097-001-04,6214.47837466645,121.33007381124908,4.307780826075992,2.094205459673976,29.873114891116966,4.082754261834178,951.7416237568832,0.9211947443345219,40.28957716339284,25.353082006127746
1098-001-01,1916.12533465983,114.74241312315264,1.22628131840993,0.9053077491545294,12.855333038227554,1.4872559190041934,195.90961246067968,2.9391694698098023,15.479648541208931,10.249005558617371
1099-001-01,3634.938711929597,834.3721251087866,2.776235170625004,3.5405785776259733,15.330301083106018,2.532832560956447,975.6193614087911,5.833295066685097,29.701281092883402,19.38192314268744
1100-001-01,1540.728542688126,176.2574710312557,1.0700322954768702,1.0000225911829939,8.610465960831629,1.2424702097782652,273.0112077991966,1.4860521788161893,11.173088321501078,8.110560547477307
1114-001-01,2402.4218315527132,223.15790239331596,1.2825207984302325,0.7611512212727818,10.429325331937623,1.0487785498516877,254.81791845789778,1.532608598711283,14.41712300795938,9.659069279529374
1116-001-01,2537.7183026116368,78.66907443523809,1.4109571061036839,0.7287800640501966,11.733216339944077,1.16561244552039,366.90923490809433,0.20518274446423945,15.494017983827911,9.89178658414889
1118-001-01,1393.3077543034924,267.18937665091124,1.0183086761660454,0.6285980701885886,8.36612048379217,1.3469528080132742,264.612871719017,0,11.135725745603251,6.561579738160813
1119-001-02,1122.100726375545,114.38824674853672,0.4676079083269734,0.43142582946437097,6.990729479240634,0.6258015842297049,120.26091428490615,6.799629396460152,7.408544449692444,6.0029859806652155
1120-001-02,1036.5056382078517,128.27975315746377,0.6875504270648093,0.60260615207466806,18.100005771313505,0.38374403152655323,94.92645746371362,48.181928494770666,9.364041099386661,15.17687621833467
1122-001-02,3693.1323289332167,581.5392242676088,2.305737815449618,1.7743777435168477,31.42098304715647,3.3721838348749302,733.9019638290955,44.850239577584375,32.922854726508724,25.166982088691494
1134-001-01,2917.956804648828,512.0914448740912,2.8444559521937913,1.6159250878310607,25.443551431201954,3.4554349382580454,912.2443641842362,19.855940806654043,28.37843512109492,19.47759048924619
1134-001-03,1213.4680583074116,202.14071618518622,0.5706514157268829,0.5190921583346015,6.213566635303415,0.6628778170269581,192.31796545771925,2.9776374694190695,8.877714248599094,5.45582745946235
