item_code,item_name,energy_kcal,vita_rae_mcg,thia_mg,ribo_mg,niac_mg,vitb6_mg,folate_mcg,vitb12_mcg,fe_mg,zn_mg
303,"HONEY, SYRUPS, JAMS, MARMALADE, JELLIES, CANNED FRUITS",266.641025641026,0.82051282051282,0.0393162393162393,0.0153846153846154,0.0256410256410256,0.0267390442218057,1.2991452991453,0,1.48547008547008,0.939316239316241
501,GROUNDNUTS IN SHELL/SHELLED,574,2,0.87,0.14,15,0.23,110,0,3.5,2.61
502,COCONUTS (MATURE/IMMATURE),413.944617784711,0,0.0781669266770671,0.0990639625585023,1.00733229329173,NA,14.219968798752,0,2.25967238689548,0.718634945397816
503,"CASHEW, ALMONDS AND OTHER NUTS",608.68,2.68,0.5672,0.304,1.98,NA,41.04,0,4.468,4.2476
504,SEEDS AND PRODUCTS FROM NUTS/SEEDS (EXCL. COOKING OIL),595.067704155302,0.775389058238409,0.866943686828173,0.19801058880154,13.8110701107011,NA,197.992299053425,0,5.35353762233274,5.1255960211776
603,"CANNED, DRIED, AND WILD VEGETABLES",285.583333333333,219.166666666667,0.3475,0.743333333333333,5.2475,1.37666666666667,311.916666666667,0,21.2,4.1775
701,RIPE BANANAS,105,0,0.07,0.04,1.2,0.153577981651376,53,0,1.4,0.32
704,SUGARCANE,26,0,0,0,0,0,0,0,0.1,0
801,GOAT MEAT,142.5,12.5,0.165,0.205,4.05,0.344545454545454,1.5,2.715,4.55,3.46
802,BEEF (INCLUDING MINCED SAUSAGE),179.201525553013,180.342105263158,0.00196796338672769,0.227111365369947,4.37504195270786,0.271399545176734,3.59641495041953,2.92154996186117,5.66797101449275,3.69345537757437
803,PORK (INCLUDING SAUSAGES AND BACON),289.981366459627,1.13043478260869,0.603726708074534,0.167080745341615,3.76583850931677,0.418062208095984,NA,0.604968944099379,1.09155279503106,1.58981366459627
805,WILD BIRDS AND INSECTS,278.666666666667,114.666666666667,NA,1.598,5.31533333333333,0.401491816550326,4.66666666666667,NA,4.81333333333333,NA
806,OTHER DOMESTIC/WILD MEAT PRODUCTS,119.728813559322,0,0.101779661016949,0.117372881355932,4.78898305084746,0.488389830508475,0.508474576271188,4.60593220338983,0.581355932203391,1.73389830508475
807,EGGS,134,186,0.12,0.51,0,0.122862745098039,83,1.7,1.7,1.13
809,DRIED/SALTED/CANNED FISH AND SEAFOOD (INCL. DAGAA),338.608780825075,145.58924867481,0.254173196589076,0.404663516939387,15.333878773911,2.49470350692427,44.7620419451487,50.3538027195206,6.8390412537451,12.3181960129062
810,PACKAGED/CANNED FISH,239,49,0.03,0.26,6.8,0.15,6,9,2.4,1.77
901,FRESH MILK,69.603305785124,40.4917355371901,3.7190082644628e-4,0.268884297520661,0.0012396694214876,0.0299514720835468,7.97520661157025,0.587644628099174,0.1,0.626157024793389
902,"MILK PRODUCTS (LIKE CREAM, CHEESE, YOGHURT ETC)",79.2225223422702,27.7877484327064,0.0523302654395091,0.193602440976391,0.106222488995598,NA,6.71655328798186,0.325495865012672,0.143090569561158,0.545197412298253
903,CANNED MILK/MILK POWDER,465.027027027027,341.405405405405,0.312162162162162,1.16783783783784,0.897297297297297,0.236639378899542,44.5135135135135,2.62432432432432,0.913513513513513,2.68594594594595
1001,COOKING OIL,899.395589321515,1.00200485385671,0,0,0,0,0,0,0.0399704547852697,0.0140192043895748
1002,"BUTTER, MARGARINE, GHEE AND OTHER FAT PRODUCTS",785.228571428571,507.514285714286,0.0231428571428571,0.0241904761904762,0.259809523809523,NA,0.295238095238095,1.12142857142857,0.0761904761904762,0.0416190476190476
1003,SALT,0,0,0,0,0,0,0,0,0.33,0.1
1004,OTHER SPICES,289.684791496321,39.4591169255928,0.226426819296811,0.291091578086672,2.8085445625511,0.201664812407008,52.9587080948487,0,21.6831561733442,2.94360179885527
1081,WHEAT FLOUR,340,0,0.32,0.115,2.55,0.455510752688172,NA,0,3,1.75
1082,BARLEY GRAIN AND OTHER CEREALS,341.982608695652,0.582608695652174,0.274060869565217,0.120678260869565,3.80928695652174,0.356703629836458,37.1913043478261,0,3.50173913043478,2.49313043478261
1101,TEA DRY,1,0,0,0,0,0,0,0,0,0
1102,COFFEE AND COCOA,342.944444444445,8.47222222222223,0.00416666666666667,0.881944444444444,37.0111111111111,0.0272378277153558,12.0277777777778,0,3.63611111111111,0.826666666666667
1103,OTHER RAW MATERIALS FOR DRINKS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1104,"BOTTLED/CANNED SOFT DRINKS (SODA, JUICE, WATER)",9.34054294615043,2.51303960836671,0.00781041388518025,0.00595576323987539,0.0544215843346685,NA,2.08860703159769,0,0.053888295505118,0.0118166444147753
1105,"PREPARED TEA, COFFEE",3.92897727272727,1.15340909090909,0.00610511363636364,0.0505852272727273,0.0398011363636364,NA,0.0823863636363636,0.0140056818181818,0.0219886363636364,0.0264772727272727
1106,BOTTLED BEER,41,0,0.01,0.02,0.5,0.03,6,0,0,0.01
1107,LOCAL BREWS,27,0,0.04,0.05,0.4,0.05,6,0,0.2,0.07
1108,WINE AND SPIRITS,127,0,0.002,0.00133333333333333,0.137666666666667,0.0172446483180428,0.333333333333333,0,0.28,0.0633333333333333
4011,PEAS,191.73684210526304,19.314194577352488,0.542185007974481,0.14709728867623603,2.42822966507177,0.134498269896194,170.692185007975,0,3.5575279106858044,4.0344976076555
4012,GREEN BEANS,40,19,0.11,0.1,0.8,0.37,36,0,1.2,0.2
4013,"OTHER BEANS, LENTILS, AND PULSES",324.5291145635973,2.1411361626878844,0.777326954654541,0.13070433876468363,1.922961191107743,0.4141904966655871,382.908803839838,0,7.749653119868638,3.24086570039156
6011,ONIONS,36.666666666666664,17.999999999999996,0.0266666666666667,0.0466666666666666,0.36666666666666664,0.09547730252376269,26.3333333333333,NA,0.9666666666666667,0.246666666666667
6012,TOMATOES,22.5,14.5,0.06,0.07,0.5,NA,17,0,0.65,0.285
6013,"CARROTS AND GREEN PEPPER, OTHER VIUNGO",28.44337058290547,248.90033222591384,0.0348112352763516,0.031328903654485055,0.33964361220175177,0.286,15.0733917245545,0,0.8507399577167017,0.184294774992449
6021,CABBAGE,18,5.666666666666666,0.0533333333333333,0.07,0.43333333333333335,0.1453336133294889,80.6666666666667,0,0.8666666666666666,0.166666666666667
